Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,Viber 1,Viber 2,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Парк Центральный,,,,,,,,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,,,5.0,0,,,,,,,,,,,,,,,,55.035238,82.925217,https://2gis.com/firm/141424683122752,adm_div
Центральный Сибирский геологический музей,,Музеи,"Академика Коптюга проспект, 3",2 этаж,630090,Верхняя зона Академгородка м-н,Советский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-16:00; Вт: 09:00-16:00; Ср: 09:00-16:00; Чт: 09:00-16:00; Пт: 09:00-16:00 (по предварительной записи),+07:00,4.5,55,83833730514,,,,http://www.igm.nsc.ru/index.php/ob-institute/struktura/museum,,,https://vk.com/csgm_novosibirsk,,,,,,,,54.845302,83.105485,https://2gis.com/firm/141265770129039,branch
Цепочная карусель,аттракцион,Аттракционы,,,633010,,,Бердск,Бердск городской округ,Новосибирская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+07:00,,,83832860136,,,,,,,,,,,,,,,54.758421,83.10299,https://2gis.com/firm/70000001090204938,branch
Цепочная карусель,Аттракцион,Аттракционы,,,630009,,Октябрьский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+07:00,5.0,1,89619680511,,,,,,,,,,,,,,,55.004239,82.939362,https://2gis.com/firm/70000001089131669,branch
Цепочная карусель,Аттракцион,Аттракционы,,,630001,,Заельцовский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+07:00,5.0,1,,,,,,,,,,,,,,,,55.053917,82.878354,https://2gis.com/firm/70000001101332956,branch
Церковно-исторический музей,,Музеи,"Центральная, Храм",цокольный этаж,633205,Ложок м-н,,Искитим,Искитим городской округ,Новосибирская область,Россия,Ср: 09:00-14:00; Пт: 12:30-17:00; Сб: 10:30-16:30; Вс: 11:30-16:30,+07:00,4.6,7,89293031500,89232305510,,,http://orthmuseum.ru/museumtwo,,,,,,,,,,,54.574332,83.354989,https://2gis.com/firm/70000001041765403,branch
Цех,,Бары,"Коммунистическая улица, 43",1 этаж,630007,,Центральный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 18:00-02:00; Вт: 18:00-02:00; Ср: 18:00-02:00; Чт: 18:00-02:00; Пт: 18:00-06:00; Сб: 18:00-06:00; Вс: 18:00-02:00,+07:00,4.1,148,89513840432,,,,,,,https://vk.com/bar_tzeh_nsk,https://wa.me/79513840432,,,,https://t.me/+79513840432,,,55.024111,82.923354,https://2gis.com/firm/70000001026612532,branch
Цитадель,учебный центр,Стрелковые клубы; Обучение охранников; Лицензирование; Обучение по охране труда; Пожарная безопасность,"улица Дружбы, 5",1 этаж; домофон 134,630078,Сад Кирова м-н,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,"Пн: 09:00-13:00, 14:00-17:00; Вт: 09:00-13:00, 14:00-17:00; Ср: 09:00-13:00, 14:00-17:00; Чт: 09:00-13:00, 14:00-17:00; Пт: 09:00-13:00, 14:00-17:00",+07:00,4.9,75,83832105689,,,,http://citadels.ru/,,,,https://wa.me/79138906208,,,,,,,54.990396,82.876895,https://2gis.com/firm/141265769401768,branch
ЦК19,,Художественные выставки,"Свердлова, 13","1, 2 этаж",630007,Тихий центр м-н,Центральный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 12:00-20:00; Сб: 12:00-20:00; Вс: 11:00-19:00,+07:00,4.7,116,83832090486 (единая справочная: пн-пт 9:00-18:00; сб-вс 11:00-19:00),,,,http://cc19.org,,,https://vk.com/centreforculture19,,,,,https://t.me/cc19_art,,https://youtube.com/channel/UCvjTAHqIrWcJj_3Qp1QaPmA,55.022344,82.921254,https://2gis.com/firm/141265769945716,branch
Чайный сервиз,аттракцион,Аттракционы,,,630037,,Первомайский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+07:00,,,83833373325,,,,http://parkigoroda-nsk.ru,,,,,,,,,,,54.970662,83.095264,https://2gis.com/firm/70000001103042759,branch
Чемпионы Будущего,,Квесты; Благотворительные фонды; Тимбилдинг; Курсы творчества для детей; Спортивные секции,"Красный Сокол, 23",,633011,,,Бердск,Бердск городской округ,Новосибирская область,Россия,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00 (по предварительной записи: пн-пт),+07:00,5.0,15,89236337999,,,,,,,https://vk.com/champions_of_the_future,https://wa.me/79236337999,,,,,,,54.773516,83.068337,https://2gis.com/firm/70000001063061548,branch
Чёмы,музей,Музеи,"Новоморская, 12а",,630056,ОбьГЭС м-н,Советский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Вт: 10:00-19:00; Ср: 11:00-20:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-18:00 (санитарный день: последняя пт месяца; по предварительному звонку: вт-сб),+07:00,4.9,39,83833347732,,,,http://m-nsk.ru/o-muzee/s,,,https://vk.com/muzej_chemy,,,,,,,,54.850781,82.974926,https://2gis.com/firm/141265770771687,branch
Чердак v.2.0,полигон,Спортивно-тактические клубы,"Станционная улица, 38 к6",5 этаж; по коридору направо,630041,,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,5.0,3,89513865654,89139366314,,,,,,https://vk.com/strikeball_sibir,https://wa.me/79513865654,,,,https://t.me/+79513865654,,,55.010486,82.819925,https://2gis.com/firm/70000001097363038,branch
Черновар,чешская пивница,Бары; Кафе,"улица Мичурина, 20",1 этаж,630005,,Центральный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-01:00,+07:00,4.4,344,89133964334,83832245333,,,,,,,https://wa.me/79133964334,,,,,,,55.046172,82.92057,https://2gis.com/firm/141265770910612,branch
Черный вход,бар,Бары,"улица Ленина, 3 к1",вход с торца,630099,Тихий центр м-н,Центральный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,4.9,39,,,,,http://t.me/backentrance666,,,,,,,,,,,55.029407,82.917846,https://2gis.com/firm/70000001101248122,branch
Чикаго,караоке-бар,Караоке-залы,"улица Ильича, 93",2 этаж,633261,,,,Ордынский район,Новосибирская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-02:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-02:00,+07:00,5.0,1,,,,,,,,https://vk.com/public204528701,https://wa.me/79833001193,,,,,,,54.380524,81.9369,https://2gis.com/firm/70000001057625290,branch
Чкаловские дачи,каток,Каток,"микрорайон Дом отдыха Мочище, 4 к3",,630123,,,,Новосибирский район,Новосибирская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,4.5,63,89237750801,,info@chkalovskie.ru,,http://chkalovskie.ru,,,https://vk.com/chkalovskie54,https://wa.me/79237750801,,,,https://t.me/+79237750801,,,55.124075,82.835931,https://2gis.com/firm/70000001046667706,branch
Чкаловские дачи,эко парк-отель,Верёвочные парки; Аренда беседок; Организация праздников; Базы отдыха; Гостиницы; Спортивный прокат; Конференц-залы; Бассейны; Бани и сауны,"микрорайон Дом отдыха Мочище, 4",,630123,,,,Новосибирский район,Новосибирская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00 (отдел по работе с корпоративными клиентами: пн-пт 10:00-18:00),+07:00,4.4,1259,89237750801 (отдел аренды беседок и номерной фонд),83833092929 (ресторан),info@chkalovskie.ru,,http://chkalovskie.ru,,,https://vk.com/chkalovskie54,https://wa.me/79237750801,,,,,,,55.122777,82.835697,https://2gis.com/firm/70000001035310956,branch
Чоппер трейн,Аттракцион,Аттракционы,,,630091,,Центральный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+07:00,,,83832220807,,,,http://parkigoroda-nsk.ru,,,https://vk.com/parknsk,,,,,,,,55.036857,82.926404,https://2gis.com/firm/70000001098027792,branch
Экопарк Чкаловские дачи,,,,,,,,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,,,4.9,0,,,,,,,,,,,,,,,,55.124312,82.835905,https://2gis.com/firm/70030076355614333,adm_div
Чудеса-Классный праздник,"агентство праздников для классов, мастер-классов и дней рождений",Квесты; Организация праздников; Аренда детских лофтов; Научно-развлекательные центры,"Горский микрорайон, 1",1 этаж,630073,Горский м-н,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00 (по предварительной записи),+07:00,4.9,254,89993003851,89993003863,chudesa54@yandex.ru,,http://лофт.чудеса54.рф,http://чудеса54.рф,,https://vk.com/chudesa54,https://wa.me/79993003851,,,,https://t.me/+79993003851,,https://youtube.com/@chudesa_nsk,54.994136,82.910616,https://2gis.com/firm/70000001050276749,branch
Шампур,кафе-бар,Бары; Доставка еды,"Ионосферная, 248",,630090,СНТ Цитолог,,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-01:00,+07:00,4.8,157,89134685154,,,,,,,https://vk.com/shampur_bar,https://wa.me/79134685154,,,,,,,54.843269,83.139344,https://2gis.com/firm/70000001023691307,branch
Шапито,аттракцион,Аттракционы,,,630033,,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+07:00,,,83832138652 (администрация),,,,http://parkigoroda-nsk.ru,,,https://vk.com/bugrinskaya_rocha,,,,,,,,54.970851,82.956956,https://2gis.com/firm/70000001099811721,branch
Шапито,аттракцион,Аттракционы,,,630108,Сад Кирова м-н,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,,+07:00,,,83832220807,,,,http://parkigoroda-nsk.ru,,,https://vk.com/parknsk,,,,,,,,54.993227,82.872513,https://2gis.com/firm/70000001097167634,branch
Шаровая молния,боулинг-центр,Боулинг,"улица Островского, 36 к1",,633456,,,Тогучин,Тогучинский район,Новосибирская область,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00 (по предварительной записи: пн-вс),+07:00,4.2,15,89930264810,,,,,,,,,,,,,,,55.238041,84.413169,https://2gis.com/firm/70000001067039324,branch
Шатун,компания по прокату квадроциклов,Спортивный прокат,"2-я Запрудная улица, 1",,630555,,,,Новосибирский район,Новосибирская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00 (нерабочие месяцы: январь-март),+07:00,5.0,33,89137666031,,,,,,,https://vk.com/adrenalinprokat,https://wa.me/79137666031,,,,,,,54.828551,82.813885,https://2gis.com/firm/70000001062688781,branch
Шашлыкоff,гриль-бар,Бары; Кафе,"Красный проспект, 65а",1-3 этаж,630091,,Центральный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-24:00,+07:00,4.7,275,83832090020,,,,http://shashlikoff.com,,,https://vk.com/shashlikoff,,,,,,,,55.042308,82.916703,https://2gis.com/firm/70000001101569357,branch
Шашлыкоff,гриль-бар,Бары; Кафе,"улица Фрунзе, 238",3 этаж,630112,,Октябрьский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-24:00,+07:00,4.5,2191,83832093758 (бар),,,,http://shashlikoff.com,,,https://vk.com/shashlikoff,,,,,,,,55.040076,82.961341,https://2gis.com/firm/70000001037833117,branch
Шашлыкоff,гриль-бар,Бары; Кафе; Доставка еды,"улица Бориса Богаткова, 221",2 этаж,630089,Золотая Нива м-н,Октябрьский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-24:00,+07:00,4.3,2501,83832091604 (бар),,,,http://shashlikoff.com,,,https://vk.com/shashlikoff,,,,,,,,55.03737,82.976347,https://2gis.com/firm/141265771708779,branch
Шашлыкоff,гриль-бар,Бары; Доставка еды; Кафе,"Вокзальная магистраль, 1",2 этаж,630004,Челюскинский ж/м,Железнодорожный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-24:00,+07:00,4.3,2762,83833622102 (бар),,,,http://shashlikoff.com,,,https://vk.com/shashlikoff,,,,,,,,55.03504,82.9016,https://2gis.com/firm/141265771642465,branch
Шашлыкоff,гриль-бар,Бары; Доставка еды; Кафе,"площадь Карла Маркса, 5",цокольный этаж,630048,,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-24:00,+07:00,4.2,3291,83833599257 (бар),,,,http://shashlikoff.com,,,https://vk.com/shashlikoff,,,,,,,,54.982612,82.891968,https://2gis.com/firm/141265771642464,branch
Шашлыкоff,гриль-бар,Бары; Кафе; Доставка еды,"площадь Карла Маркса, 1",2 этаж,630048,,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-24:00,+07:00,4.6,3360,89132097367,83832091124 (бар),,,http://shashlikoff.com,,,https://vk.com/shashlikoff,,,,,,,,54.981377,82.896974,https://2gis.com/firm/141265771619797,branch
Шашлыкоff,гриль-бар,Бары; Доставка еды; Кафе,"улица Объединения, 80",1 этаж,630027,Юбилейный ж/м,Калининский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-24:00,+07:00,4.7,2266,83832003407 (бар),,,,http://shashlikoff.com,,,https://vk.com/shashlikoff,,,,,,,,55.095946,82.962651,https://2gis.com/firm/141265771581432,branch
Шашлыкоff,гриль-бар,Бары; Доставка еды; Кафе,"Красный проспект, 17",3 этаж,630099,Тихий центр м-н,Центральный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-24:00,+07:00,4.8,5293,83832090374 (администратор),,,,http://shashlikoff.com,,,https://vk.com/shashlikoff,,,,,,,,55.02669,82.920959,https://2gis.com/firm/141265771481295,branch
Шашлыкоff,гриль-бар,Бары; Кафе; Доставка еды,"Красный проспект, 200",1 этаж,630049,,Заельцовский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-24:00,+07:00,4.1,2800,83833357755,83832205111,,,http://shashlikoff.com,,,https://vk.com/shashlikoff,,,,,,,,55.063347,82.91218,https://2gis.com/firm/141265770917917,branch
Шашлыкоff,гриль-бар,Бары; Кафе; Доставка еды,"проспект Карла Маркса, 47",3 этаж,630073,,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-24:00,+07:00,4.6,5695,83832460646 (администратор),,,,http://shashlikoff.com,,,https://vk.com/shashlikoff,,,,,,,,54.990449,82.908066,https://2gis.com/firm/141265769975994,branch
Шемрок,ирландский ресторан-паб,Бары; Рестораны; Доставка еды,"Нарымская улица, 23",1 этаж,630132,Челюскинский ж/м,Железнодорожный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-24:00,+07:00,4.4,260,83832396106,,,,http://shamrocknsk.ru/,,,https://vk.com/shamrock_restopub,https://wa.me/79833106106,,,,,,,55.044016,82.904932,https://2gis.com/firm/141265769338410,branch
Школа enduro,,Спортивный прокат,"улица Тимирязева, 3/6",,630521,,,,Новосибирский район,Новосибирская область,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+07:00,5.0,1,89137933330,,,,,,,,,,,,,,,54.907709,82.846096,https://2gis.com/firm/70000001062691966,branch
Штурвал,Аттракцион,Аттракционы,,,630091,,Центральный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+07:00,3.1,5,83832220807,,,,http://parkigoroda-nsk.ru,,,https://vk.com/parknsk,,,,,,,,55.035642,82.92537,https://2gis.com/firm/70000001098030251,branch
Штурм,страйкбол-лазертаг клуб,Спортивно-тактические клубы,"Часовая улица, 6/1",,630098,ОбьГЭС м-н,Советский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,,,89061953479,,,,http://пейнтбол-лазертаг54.рф,,,,https://wa.me/79061953479,,,,,,,54.867298,82.986483,https://2gis.com/firm/70000001102224672,branch
Эволюция земли,музей,Музеи,"улица Пирогова, 1",2410 кабинет; 1 блок; 2 этаж,630090,Верхняя зона Академгородка м-н,Советский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00; Сб: 09:00-17:00; Вс: 09:00-17:00 (по предварительной записи),+07:00,4.7,90,83833634225,,,,http://excursion.nsu.ru,,,,,,,,,,,54.842716,83.090121,https://2gis.com/firm/70000001049037796,branch
Эдемвиль,детский развлекательный центр,Детские игровые залы; Товары для праздников; Организация праздников,"Кутателадзе, 4/4",1 этаж,630090,Верхняя зона Академгородка м-н,Советский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 14:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+07:00,4.5,415,83832632550,,,,,,,https://vk.com/edemvil_grup,,,,,,,,54.859905,83.104415,https://2gis.com/firm/70000001025065915,branch
Эйфория,лофт,Караоке-залы; Антикафе; Аренда концертных площадок; Аренда лофтов,"улица Есенина, 1",цокольный этаж,630124,,Дзержинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,5.0,235,89231051414,,euphoria-54@yandex.ru,,,,,https://vk.com/lofteuphoriansk,https://wa.me/79231051414,,,,https://t.me/euphoria_54,,,55.05172,82.995838,https://2gis.com/firm/70000001079266801,branch
Экватор,аквапарк,Аквапарки,"Промышленная улица, 80",,633623,,,,Сузунский район,Новосибирская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+07:00,2.3,11,89538653266,,,,,,,,https://wa.me/79538653266,,,,,,,53.769941,82.272562,https://2gis.com/firm/70000001062964397,branch
4 сезона,парк-отель,Аренда беседок; Базы отдыха; Банкетные залы; Конференц-залы,"Санаторий Речкуновский, 5",,633000,Речкуновская Зона Отдыха м-н,,Бердск,Бердск городской округ,Новосибирская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,4.8,135,88005550790,89835102730,seasons4hotel@yandex.ru,,http://отель4сезона.рф?utm_source=2gis_main,,,https://vk.com/4seasons_nsk,https://wa.me/79139199138,,,,https://t.me/seasons4hotelNSK,,,54.791599,83.099815,https://2gis.com/firm/70000001066006379,branch
Парк-отель 4 сезона,,,,,,,,Бердск,Бердск городской округ,Новосибирская область,Россия,,,4.5,12,,,,,,,,,,,,,,,,54.793574,83.101215,https://2gis.com/firm/70030076162003595,adm_div
Lucky lake,центр пляжного отдыха,Аренда беседок; Бассейны; Пляжи,"Южная улица, 1а",,630532,,,,Новосибирский район,Новосибирская область,Россия,Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+07:00,4.0,125,89139106300,,,,http://luckylake.ru,,,,https://wa.me/79139106300,,,,,,,55.241143,83.039677,https://2gis.com/firm/70000001028290861,branch
Пляж Lucky lake,,,,,,,,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,,,5.0,1,,,,,,,,,,,,,,,,55.242607,83.03965,https://2gis.com/firm/70030076901691547,adm_div
Riverkvadro,клуб загородного отдыха,Аренда беседок; Спортивный прокат; Организация праздников; Прокат водно-спортивной техники,"улица Кирова, 31",,630555,,,,Новосибирский район,Новосибирская область,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+07:00,4.9,210,83833109664,89835109664,,,http://riverkvadro.ru,,,https://vk.com/riverkvadro,https://wa.me/79835109664,,,,https://t.me/+79835109664,,,54.816121,82.860468,https://2gis.com/firm/70000001047554946,branch
Royal Marine,загородный яхт-клуб,Аренда беседок; Яхт-клубы; Бани и сауны; Гостиницы; Банкетные залы,"Северный микрорайон, 1 к1",,633011,,,Бердск,Бердск городской округ,Новосибирская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,4.2,357,89833101799 (гостинично-банный комплекс),89130071788 (отдел банкетных площадок),,,http://www.royal-marine.su/,,,https://vk.com/royal_marine_nsk,https://wa.me/79833101799,https://wa.me/79130071788,,,https://t.me/+79833101799,,,54.774217,83.096159,https://2gis.com/firm/141265769483713,branch
SaunaBay,"компания по аренде сауны, беседки и коттеджа",Аренда беседок; Бани и сауны; Аренда коттеджей / гостевых домов,"Благодатная 1-я, 7",,630555,Благодатный коттеджный пос.,,,Новосибирский район,Новосибирская область,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+07:00,5.0,69,89137714107,89139229762,,,http://saunabay.ru,,,,https://wa.me/79137714107,https://wa.me/79139229762,,,https://t.me/+79137714107,,,54.827593,82.885487,https://2gis.com/firm/70000001088253231,branch
Shalet,компания по аренде беседок,Аренда беседок,"Парковая улица, 88 к1",,630001,,Заельцовский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+07:00,4.0,7,89139175441,,,,http://shalet-nsk.ru,,,,https://wa.me/79139175441,,viber://chat/?number=79139175441,,,,,55.051449,82.837825,https://2gis.com/firm/70000001065051587,branch
Абникум,гостиничный комплекс,Аренда беседок; Гостиницы; Конференц-залы; Банкетные залы; SPA-процедуры,"улица Сибиряков-Гвардейцев, 56/3","1, 2 этаж",630088,,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,4.8,826,83833284455 (многоканальный),89132020009,,,http://abnicum.com,,,https://vk.com/abnicumhotel,https://wa.me/79132020009,https://wa.me/79130111007,,,https://t.me/abnicum_hotel,,,54.948776,82.897175,https://2gis.com/firm/141265771666623,branch
